Drug,Dataset,Cohort/window,Evidence role,Independence,N,Responders,Nonresponders,Tissue,Platform,Program,AUC high→response,Direction-free AUC,P value,Responder mean,Nonresponder mean,Direction,Notes,AUC_low95,AUC_high95,AUC_SE_approx,Signed_AUC_minus_0.5,Mean_difference_R_minus_NR
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,Costimulation,0.8,0.8,0.25,0.02339184807047401,-0.038986413450789924,High→response,Not independent; paired longitudinal checkpoint only.,0.47639658473623875,1.0,0.1651037832978374,0.30000000000000004,0.06237826152126393
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,IFN_response,0.6759259259259259,0.6759259259259259,0.05499188417551674,0.29471939857498397,-0.22103954893123748,High→response,Abatacept-derived programs tested without retuning.,0.5082288036278406,0.8436230482240112,0.08555975627453334,0.17592592592592593,0.5157589475062214
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,Mito_ETC,0.5231481481481481,0.5231481481481481,0.8092016606006587,0.044623720770238524,-0.033467790577679436,High→response,Abatacept-derived programs tested without retuning.,0.344487285780669,0.7018090105156273,0.0911535012078975,0.02314814814814814,0.07809151134791796
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,Th1_Tcell,0.45370370370370366,0.5462962962962963,0.6201622898742002,-0.1902466352975608,0.14268497647317016,Low→response,Abatacept-derived programs tested without retuning.,0.2768887743629215,0.6305186330444859,0.09021169864325623,-0.046296296296296335,-0.33293161177073094
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,Myeloid,0.4236111111111111,0.5763888888888888,0.4087848489659467,-0.025065855499466858,0.018799391624597594,Low→response,Abatacept-derived programs tested without retuning.,0.2488902964781525,0.5983319257440697,0.08914327277191765,-0.0763888888888889,-0.04386524712406445
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,Bcell_CXCL13,0.38194444444444436,0.6180555555555556,0.19930658442691662,-0.133275989729206,0.09995699229690491,Low→response,Abatacept-derived programs tested without retuning.,0.2114311019760799,0.5524577869128089,0.08699660330018595,-0.11805555555555564,-0.23323298202611092
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,NFkB_inflammatory,0.7175925925925926,0.7175925925925926,0.017480791030625244,0.23417878659646366,-0.17563408994735,High→response,Abatacept-derived programs tested without retuning.,0.5567651200234942,0.8784200651616909,0.08205483294341753,0.21759259259259256,0.40981287654381365
Anti-TNF,GSE33377,Baseline,Frozen cross-drug test,Independent study,42,18,24,White blood cells,Affymetrix GPL5175,Costimulation,0.41898148148148145,0.5810185185185186,0.3805590020683468,-0.09463660187521056,0.07097745140640865,Low→response,Abatacept-derived programs tested without retuning.,0.24465276113261772,0.5933102018303452,0.08894322466778762,-0.08101851851851855,-0.1656140532816192
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,IFN_response,0.606061,0.606061,0.222297,0.086458,-0.094318,High→response,MEDIUM/unclassified excluded.,0.44237267917694956,0.7697493208230504,0.08351444939951552,0.10606099999999996,0.180776
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,Mito_ETC,0.517045,0.517045,0.851727,0.044681,-0.048743,High→response,MEDIUM/unclassified excluded.,0.34843542904217545,0.6856545709578246,0.08602529130501252,0.017044999999999977,0.09342400000000001
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,Th1_Tcell,0.465909,0.534091,0.700367,-0.013397,0.014615,Low→response,MEDIUM/unclassified excluded.,0.2974106682510964,0.6344073317489036,0.08596853660658346,-0.03409099999999998,-0.028012
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,Myeloid,0.503788,0.503788,0.973687,-0.000278,0.000304,High→response,MEDIUM/unclassified excluded.,0.33500228652142683,0.6725737134785732,0.08611515993804754,0.0037880000000000136,-0.000582
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,Bcell_CXCL13,0.579545,0.579545,0.361461,0.09227,-0.100659,High→response,MEDIUM/unclassified excluded.,0.4137043958515374,0.7453856041484626,0.08461255313697069,0.07954499999999998,0.19292900000000002
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,NFkB_inflammatory,0.551136,0.551136,0.560072,0.027695,-0.030213,High→response,MEDIUM/unclassified excluded.,0.3836387944218235,0.7186332055781763,0.0854577579480492,0.05113599999999996,0.057908
Anti-TNF,GSE15258,Baseline RESPONSE vs NORESPONSE,Frozen external validation,Independent study,46,24,22,Whole blood,Affymetrix GPL570,Costimulation,0.594697,0.594697,0.276373,0.070648,-0.077071,High→response,MEDIUM/unclassified excluded.,0.43001401738454215,0.7593799826154579,0.08402192990584585,0.09469700000000003,0.147719
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,IFN_response,0.440972,0.559028,0.56915,-0.131315,0.147729,Low→response,Cohorts separate; not fully independent studies.,0.2449442895882356,0.6369997104117644,0.1000141379651859,-0.059028000000000025,-0.27904399999999996
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,Mito_ETC,0.173611,0.826389,0.001255,-0.366819,0.412672,Low→response,Cohorts separate; not fully independent studies.,0.029109623873011164,0.31811237612698884,0.0737251919015249,-0.32638900000000004,-0.7794909999999999
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,Th1_Tcell,0.375,0.625,0.220626,-0.134249,0.15103,Low→response,Cohorts separate; not fully independent studies.,0.1843250786640863,0.5656749213359137,0.09728312313056822,-0.125,-0.285279
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,Myeloid,0.423611,0.576389,0.458196,-0.110546,0.124365,Low→response,Cohorts separate; not fully independent studies.,0.22857750641999788,0.6186444935800022,0.09950688447959292,-0.07638899999999998,-0.234911
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,Bcell_CXCL13,0.368056,0.631944,0.195709,-0.170119,0.191383,Low→response,Cohorts separate; not fully independent studies.,0.1781969342149349,0.5579150657850651,0.0968668702985026,-0.131944,-0.361502
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,NFkB_inflammatory,0.378472,0.621528,0.233904,-0.109799,0.123524,Low→response,Cohorts separate; not fully independent studies.,0.187407528511049,0.5695364714889509,0.09748187320864846,-0.12152800000000002,-0.233323
Anti-TNF,GSE129705,Cohort 1,Predefined-program replication,Two cohorts within same study,34,18,16,Whole blood RNA,RNA-seq GPL16791,Costimulation,0.309028,0.690972,0.06005,-0.157316,0.17698,Low→response,Cohorts separate; not fully independent studies.,0.1281415594142287,0.4899144405857714,0.09228900029886293,-0.19097199999999998,-0.33429600000000004
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,IFN_response,0.69697,0.69697,0.083551,0.176437,-0.288715,High→response,Cohorts separate; not fully independent studies.,0.5042829572238617,0.8896570427761382,0.09830971570211136,0.19696999999999998,0.465152
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,Mito_ETC,0.40404,0.59596,0.405684,-0.085608,0.140087,Low→response,Cohorts separate; not fully independent studies.,0.18546884100437463,0.6226111589956254,0.11151589744674764,-0.09595999999999999,-0.22569499999999998
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,Th1_Tcell,0.378788,0.621212,0.290856,-0.148243,0.24258,Low→response,Cohorts separate; not fully independent studies.,0.16234572733389613,0.5952302726661038,0.11042973095209382,-0.12121199999999999,-0.39082300000000003
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,Myeloid,0.550505,0.550505,0.669384,0.058456,-0.095655,High→response,Cohorts separate; not fully independent studies.,0.33334872470068005,0.7676612752993199,0.11079401800985712,0.05050500000000002,0.154111
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,Bcell_CXCL13,0.40404,0.59596,0.405684,-0.105115,0.172006,Low→response,Cohorts separate; not fully independent studies.,0.18546884100437463,0.6226111589956254,0.11151589744674764,-0.09595999999999999,-0.277121
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,NFkB_inflammatory,0.626263,0.626263,0.270813,0.115006,-0.188191,High→response,Cohorts separate; not fully independent studies.,0.41882141769486675,0.8337045823051332,0.10583754199241494,0.12626300000000001,0.303197
Anti-TNF,GSE129705,Cohort 2,Predefined-program replication,Two cohorts within same study,29,18,11,Whole blood RNA,RNA-seq GPL16791,Costimulation,0.444444,0.555556,0.63697,-0.055733,0.091199,Low→response,Cohorts separate; not fully independent studies.,0.22395156370818323,0.6649364362918168,0.11249614096521264,-0.055555999999999994,-0.146932
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Mito_ETC,0.9097744361,0.9097744361,7.7e-05,,,High→response,Clean response extremes; continuous correlation tested in all 46 patients.,0.8083200024504447,1.0,0.05176246614773228,0.4097744361,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Myeloid,0.8984962406,0.8984962406,0.000163,,,High→response,Clean response extremes.,0.7907675343665176,1.0,0.05496362562932777,0.3984962406,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Cell_cycle,0.11654135340000005,0.8834586466,,,,Low→response,Clean response extremes.,0.0,0.24326585636879713,0.06465535865754954,-0.38345864659999995,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Costimulation,0.14285714289999996,0.8571428571,,,,Low→response,Clean response extremes.,0.0038118148804703045,0.2819024709195296,0.07094149388751513,-0.35714285710000004,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Apoptosis,0.15037593979999997,0.8496240602,,,,Low→response,Clean response extremes.,0.008118690483463142,0.2926331891165368,0.07258022924313104,-0.34962406020000003,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Th1_Tcell,0.19924812030000005,0.8007518797,,,,Low→response,Clean response extremes.,0.03885998477196426,0.3596362558280358,0.081830681391855,-0.30075187969999995,
Anti-TNF,GSE198520,Baseline,Tissue response benchmark,Independent study,33,19,14,Synovium,RNA-seq,Bcell_CXCL13,0.7105263158,0.7105263158,0.043,,,High→response,Clean response extremes.,0.5344191170741263,0.8866335145258738,0.08985061159483355,0.21052631580000003,
